"","LU0093503810","IE00B11XZ988","LU1003076939","LU0006061385","LU0294219869"
"1",15.38,24.11,8.83,25.18,20.7
"2",15.38,24.11,8.83,25.18,20.7
"3",15.39,24.1,8.83,25.2,20.73
"4",15.4,24.13,8.83,25.22,20.68
"5",15.41,24.16,8.83,25.26,20.71
"6",15.41,24.06,8.85,25.27,20.68
"7",15.42,24.08,8.85,25.26,20.69
"8",15.41,24.24,8.83,25.27,20.76
"9",15.42,24.29,8.84,25.3,20.74
"10",15.42,24.22,8.84,25.33,20.8
"11",15.42,24.19,8.85,25.33,20.74
"12",15.42,24.22,8.85,25.35,20.71
"13",15.43,24.24,8.85,25.37,20.72
"14",15.44,24.23,8.85,25.41,20.72
"15",15.44,24.22,8.87,25.4,20.66
"16",15.44,24.16,8.87,25.4,20.64
"17",15.43,24.27,8.85,25.41,20.45
"18",15.43,24.29,8.84,25.43,20.33
"19",15.43,24.25,8.84,25.42,20.33
"20",15.43,24.3,8.83,25.43,20.43
"21",15.43,24.36,8.83,25.44,20.3
"22",15.43,24.34,8.84,25.46,20.29
"23",15.44,24.36,8.82,25.48,20.23
"24",15.44,24.45,8.83,25.51,20.1
"25",15.44,24.42,8.82,25.51,20.31
"26",15.45,24.41,8.82,25.53,20.35
"27",15.44,24.4,8.82,25.5,20.39
"28",15.45,24.49,8.83,25.52,20.42
"29",15.45,24.49,8.84,25.54,20.38
"30",15.46,24.43,8.84,25.53,20.46
"31",15.46,24.38,8.85,25.52,20.5
"32",15.46,24.44,8.84,25.53,20.45
"33",15.47,24.41,8.85,25.56,20.51
"34",15.47,24.44,8.86,25.58,20.57
"35",15.48,24.47,8.86,25.59,20.51
"36",15.48,24.44,8.86,25.6,20.42
"37",15.47,24.4,8.87,25.58,20.42
"38",15.48,24.43,8.87,25.58,20.5
"39",15.48,24.42,8.88,25.59,20.57
"40",15.49,24.47,8.87,25.62,20.55
"41",15.49,24.5,8.88,25.65,20.55
"42",15.5,24.53,8.89,25.69,20.56
"43",15.49,24.51,8.91,25.68,20.58
"44",15.49,24.55,8.89,25.72,20.41
"45",15.5,24.5,8.91,25.72,20.57
"46",15.51,24.5,8.92,25.72,20.62
"47",15.51,24.49,8.93,25.69,20.7
"48",15.51,24.41,8.94,25.68,20.64
"49",15.51,24.42,8.93,25.69,20.58
"50",15.52,24.42,8.94,25.67,20.54
"51",15.52,24.44,8.91,25.7,20.49
"52",15.51,24.5,8.91,25.7,20.45
"53",15.52,24.5,8.89,25.73,20.43
"54",15.51,24.46,8.9,25.73,20.51
"55",15.52,24.5,8.89,25.72,20.51
"56",15.52,24.32,8.91,25.73,20.54
"57",15.51,24.28,8.94,25.68,20.52
"58",15.52,24.28,8.94,25.69,20.5
"59",15.52,24.26,8.95,25.71,20.53
"60",15.52,24.28,8.94,25.73,20.6
"61",15.53,24.33,8.94,25.75,20.63
"62",15.54,24.32,8.94,25.77,20.76
"63",15.54,24.29,8.96,25.79,20.84
"64",15.54,24.31,8.96,25.77,20.91
"65",15.55,24.31,8.96,25.79,20.97
"66",15.55,24.27,8.97,25.76,20.96
"67",15.55,24.28,8.97,25.75,20.93
"68",15.57,24.38,8.96,25.8,20.99
"69",15.58,24.42,8.96,25.84,20.97
"70",15.58,24.42,8.96,25.82,20.96
"71",15.58,24.47,8.97,25.83,21.04
"72",15.58,24.53,8.96,25.86,20.96
"73",15.58,24.53,8.95,25.89,20.94
"74",15.58,24.49,8.95,25.88,20.92
"75",15.58,24.47,8.96,25.86,20.87
"76",15.59,24.46,8.97,25.91,20.89
"77",15.59,24.41,8.97,25.91,20.94
"78",15.59,24.41,8.98,25.895,20.945
"79",15.59,24.41,8.985,25.8875,20.95
"80",15.59,24.39,8.99,25.88,20.9
"81",15.59,24.44,8.99,25.9,20.87
"82",15.59,24.43,8.99,25.91,20.85
"83",15.58,24.44,8.99,25.93,20.79
"84",15.58,24.45,8.99,25.92,20.86
"85",15.59,24.44,9,25.9,20.94
"86",15.59,24.5,8.99,25.92,20.9
"87",15.595,24.53,9,25.94,20.91
"88",15.6,24.49,9.01,25.96,20.91
"89",15.6,24.5,9.01,25.99,20.91
"90",15.6,24.5,9.01,26,20.92
"91",15.6,24.55,9.01,26,21.03
"92",15.61,24.61,9.01,26.02,21.11
"93",15.61,24.61,9.01,26.02,21.14
"94",15.61,24.58,9.02,26.01,21.13
"95",15.61,24.62,9.01,26.02,21.21
"96",15.62,24.68,9,26.07,21.19
"97",15.62,24.71,9,26.09,21.14
"98",15.61,24.69,9.01,26.08,21.19
"99",15.61,24.71,9.01,26.07,21.23
"100",15.6,24.75,9.01,26.04,21.17
"101",15.6,24.75,9.02,26.04,21.21
"102",15.6,24.75,9.01,26.04,21.29
"103",15.61,24.77,9.01,26.05,21.31
"104",15.62,24.77,9.02,26.09,21.31
"105",15.62,24.77,9.02,26.09,21.3
"106",15.63,24.84,9.02,26.13,21.33
"107",15.625,24.83,9.025,26.13,21.38
"108",15.62,24.82,9.03,26.13,21.34
"109",15.63,24.76,9.04,26.13,21.33
"110",15.63,24.71,9.03,26.1,21.31
"111",15.63,24.71,9.02,26.08,21.33
"112",15.64,24.75,9.02,26.08,21.37
"113",15.67,24.74,9.04,26.17,21.51
"114",15.675,24.72,9.055,26.175,21.55
"115",15.68,24.69,9.07,26.18,21.52
"116",15.68,24.69,9.05,26.15,21.5
"117",15.68,24.73,9.05,26.15,21.46
"118",15.68,24.68,9.07,26.16,21.48
"119",15.68,24.67,9.07,26.19,21.39
"120",15.68,24.62,9.07,26.15,21.36
"121",15.67,24.66,9.06,26.14,21.38
"122",15.67,24.72,9.06,26.18,21.39
"123",15.67,24.73,9.07,26.15,21.36
"124",15.675,24.72,9.07,26.175,21.39
"125",15.68,24.75,9.07,26.2,21.41
"126",15.68,24.79,9.07,26.23,21.41
"127",15.68,24.84,9.07,26.26,21.42
"128",15.68,24.85,9.07,26.26,21.41
"129",15.68,24.86,9.06,26.25,21.41
"130",15.68,24.82,9.08,26.26,21.44
"131",15.68,24.76,9.09,26.23,21.46
"132",15.69,24.73,9.1,26.21,21.51
"133",15.69,24.725,9.09,26.23,21.51
"134",15.69,24.72,9.08,26.23,21.5
"135",15.69,24.76,9.07,26.25,21.52
"136",15.68,24.79,9.07,26.26,21.53
"137",15.67,24.84,9.06,26.27,21.49
"138",15.67,24.85,9.06,26.26,21.46
"139",15.67,24.81,9.07,26.26,21.49
"140",15.67,24.77,9.07,26.28,21.47
"141",15.68,24.75,9.08,26.3,21.48
"142",15.68,24.8,9.08,26.32,21.38
"143",15.68,24.78,9.08,26.34,21.42
"144",15.69,24.75,9.08,26.35,21.46
"145",15.69,24.78,9.09,26.34,21.52
"146",15.69,24.8,9.09,26.36,21.57
"147",15.69,24.74,9.1,26.35,21.54
"148",15.7,24.77,9.1,26.37,21.55
"149",15.7,24.74,9.1,26.39,21.54
"150",15.7,24.76,9.1,26.4,21.52
"151",15.7,24.68,9.1,26.39,21.51
"152",15.7,24.68,9.09,26.34,21.4
"153",15.7,24.75,9.07,26.34,21.3
"154",15.7,24.77,9.07,26.37,21.33
"155",15.7,24.76,9.07,26.35,21.3
"156",15.69,24.75,9.06,26.36,21.21
"157",15.68,24.81,9.06,26.37,21.14
"158",15.68,24.79,9.05,26.41,21.16
"159",15.68,24.8,9.06,26.39,21.28
"160",15.69,24.8,9.06,26.39,21.31
"161",15.68,24.85,9.05,26.39,21.35
"162",15.69,24.87,9.05,26.44,21.45
"163",15.695,24.91,9.06,26.46,21.46
"164",15.7,24.88,9.07,26.48,21.54
"165",15.7,24.86,9.07,26.48,21.58
"166",15.71,24.82,9.08,26.48,21.56
"167",15.71,24.84,9.07,26.47,21.56
"168",15.71,24.82,9.08,26.49,21.59
"169",15.73,24.82,9.09,26.54,21.59
"170",15.73,24.83,9.09,26.57,21.65
"171",15.73,24.85,9.08,26.6,21.67
"172",15.72,24.87,9.09,26.62,21.59
"173",15.72,24.87,9.09,26.61,21.64
"174",15.73,24.84,9.09,26.6,21.65
"175",15.73,24.81,9.09,26.54,21.61
"176",15.73,24.82,9.09,26.51,21.64
"177",15.75,24.81,9.08,26.52,21.75
"178",15.77,24.82,9.08,26.53,21.78
"179",15.77,24.78,9.08,26.54,21.8
"180",15.77,24.72,9.1,26.48,21.63
"181",15.77,24.67,9.09,26.44,21.68
"182",15.77,24.69,9.08,26.44,21.66
"183",15.77,24.62,9.09,26.4,21.6
"184",15.77,24.64,9.07,26.41,21.54
"185",15.76,24.65,9.07,26.39,21.59
"186",15.77,24.61,9.07,26.42,21.65
"187",15.77,24.57,9.08,26.39,21.61
"188",15.77,24.61,9.08,26.42,21.66
"189",15.77,24.63,9.08,26.48,21.6
"190",15.77,24.67,9.07,26.5,21.58
"191",15.77,24.63,9.07,26.52,21.67
"192",15.77,24.68,9.07,26.54,21.54
"193",15.77,24.6,9.08,26.54,21.55
"194",15.77,24.6,9.07,26.55,21.43
"195",15.77,24.59,9.07,26.55,21.49
"196",15.77,24.7,9.06,26.59,21.44
"197",15.77,24.66,9.06,26.59,21.45
"198",15.77,24.68,9.08,26.57,21.51
"199",15.77,24.7,9.08,26.59,21.49
"200",15.77,24.74,9.06,26.61,21.44
"201",15.76,24.76,9.05,26.65,21.46
"202",15.77,24.77,9.05,26.68,21.52
"203",15.76,24.79,9.04,26.66,21.41
"204",15.76,24.84,9.03,26.67,21.44
"205",15.76,24.83,9.03,26.7,21.38
"206",15.74,24.83,9.01,26.78,21.22
"207",15.7,24.78,9.02,26.72,21.18
"208",15.72,24.78,9.02,26.66,21.31
"209",15.72,24.78,9.02,26.66,21.28
"210",15.73,24.78,9.03,26.65,21.32
"211",15.74,24.78,9.04,26.65,21.35
"212",15.73,24.76,9.04,26.63,21.37
"213",15.74,24.77,9.04,26.65,21.41
"214",15.74,24.77,9.04,26.65,21.35
"215",15.74,24.76,9.04,26.65,21.45
"216",15.74,24.72,9.04,26.64,21.49
"217",15.74,24.75,9.04,26.66,21.54
"218",15.74,24.77,9.07,26.68,21.61
"219",15.75,24.77,9.08,26.68,21.55
"220",15.75,24.75,9.08,26.73,21.52
"221",15.75,24.76,9.09,26.7,21.51
"222",15.75,24.75,9.09,26.7,21.51
"223",15.75,24.81,9.08,26.68,21.5
"224",15.75,24.78,9.08,26.72,21.54
"225",15.76,24.79,9.09,26.7,21.51
"226",15.76,24.77,9.07,26.7,21.53
"227",15.75,24.79,9.08,26.7,21.47
"228",15.75,24.81,9.09,26.71,21.46
"229",15.75,24.79,9.08,26.72,21.48
"230",15.75,24.8,9.07,26.71,21.5
"231",15.75,24.78,9.08,26.7,21.47
"232",15.74,24.8,9.07,26.74,21.49
"233",15.75,24.85,9.08,26.76,21.64
"234",15.76,24.88,9.09,26.78,21.59
"235",15.76,24.91,9.1,26.82,21.59
"236",15.75,24.91,9.11,26.86,21.58
"237",15.75,24.93,9.1,26.9,21.58
"238",15.74,24.95,9.11,26.92,21.46
"239",15.74,24.94,9.11,26.95,21.38
"240",15.74,24.88,9.11,26.88,21.39
"241",15.75,24.89,9.11,26.88,21.43
"242",15.74,24.9,9.11,26.88,21.36
"243",15.75,24.89,9.13,26.88,21.35
"244",15.75,24.89,9.13,26.89,21.3
"245",15.74,24.88,9.11,26.94,21.26
"246",15.73,24.89,9.12,26.95,21.07
"247",15.72,24.89,9.11,26.96,21.04
"248",15.72,24.9,9.11,26.99,20.94
"249",15.72,24.86,9.11,27,20.81
"250",15.71,24.87,9.09,27.03,20.69
"251",15.71,24.82,9.09,27.03,20.86
"252",15.73,24.81,9.11,27.01,21
"253",15.73,24.86,9.11,27.01,21.05
"254",15.74,24.88,9.13,27.04,21.05
"255",15.74,24.77,9.14,27.05,21.01
"256",15.74,24.77,9.135,27.06,20.98
"257",15.74,24.79,9.1325,27.065,20.985
"258",15.74,24.8,9.13125,27.0675,20.99
"259",15.74,24.81,9.13,27.07,21.01
"260",15.74,24.82,9.13,27.12,21.01
"261",15.74,24.86,9.13,27.13,21.05
"262",15.745,24.915,9.135,27.15,21.005
"263",15.75,24.97,9.14,27.17,20.96
"264",15.75,25.03,9.14,27.22,20.85
"265",15.74,25.06,9.14,27.32,20.8
"266",15.74,25.08,9.15,27.29,20.88
"267",15.73,25.04,9.15,27.3,21.07
"268",15.74,25.05,9.15,27.27,21.06
"269",15.74,25.1,9.14,27.34,20.99
"270",15.74,25.1,9.15,27.38,21.01
"271",15.74,25.17,9.14,27.44,21.01
"272",15.74,25.24,9.1,27.37,21.03
"273",15.76,25.23,9.08,27.4,21.18
"274",15.77,25.245,9.09,27.42,21.09
"275",15.77,25.26,9.12,27.43,21.1
"276",15.77,25.2,9.11,27.4,21.05
"277",15.77,25.22,9.1,27.33,21.31
"278",15.82,25.35,9.13,27.44,21.43
"279",15.81,25.35,9.15,27.48,21.39
"280",15.82,25.34,9.15,27.48,21.33
"281",15.8,25.43,9.16,27.46,21.22
"282",15.8,25.39,9.16,27.5,21.16
"283",15.79,25.46,9.16,27.53,21.01
"284",15.8,25.44,9.16,27.56,21
"285",15.81,25.33,9.17,27.51,21.14
"286",15.81,25.35,9.16,27.45,21.14
"287",15.82,25.31,9.17,27.47,21.16
"288",15.82,25.23,9.18,27.45,21.27
"289",15.82,25.2,9.16,27.37,21.22
"290",15.82,25.14,9.16,27.33,21.15
"291",15.82,25.15,9.16,27.31,21.07
"292",15.82,25.11,9.15,27.33,21.1
"293",15.83,25.09,9.17,27.32,21.15
"294",15.83,25.025,9.17,27.26,21.15
"295",15.83,24.96,9.17,27.29,21.14
"296",15.84,25.07,9.18,27.24,21.04
"297",15.84,25.02,9.18,27.27,21
"298",15.84,25,9.17,27.29,20.97
"299",15.85,25.11,9.18,27.31,20.95
"300",15.86,25.22,9.19,27.34,21.02
"301",15.86,25.23,9.19,27.43,21.05
"302",15.87,25.24,9.21,27.48,21.21
"303",15.88,25.28,9.21,27.46,21.23
"304",15.89,25.19,9.22,27.46,21.2
"305",15.88,25.15,9.21,27.37,21.2
"306",15.89,25.15,9.2,27.35,21.17
"307",15.89,25.17,9.21,27.39,21.16
"308",15.91,25.06,9.24,27.38,21.16
"309",15.91,25.07,9.22,27.35,21.09
"310",15.9,25.15,9.19,27.42,21.01
"311",15.9,25.2,9.2,27.48,21.17
"312",15.9,25.18,9.21,27.54,21.15
"313",15.9,25.15,9.22,27.51,21.08
"314",15.9,25.14,9.22,27.53,21.05
"315",15.9,25.19,9.21,27.52,21.05
"316",15.89,25.32,9.2,27.56,20.95
"317",15.89,25.33,9.21,27.65,21
"318",15.89,25.38,9.21,27.65,20.97
"319",15.89,25.35,9.21,27.63,21.08
"320",15.88,25.4,9.21,27.63,21.13
"321",15.88,25.35,9.2,27.64,21.05
"322",15.89,25.25,9.2,27.61,21.07
"323",15.89,25.32,9.2,27.56,20.99
"324",15.89,25.3,9.21,27.6,21.03
"325",15.89,25.36,9.21,27.6,21.1
"326",15.89,25.46,9.21,27.64,21.21
"327",15.89,25.39,9.22,27.65,21.25
"328",15.895,25.38,9.22,27.635,21.28
"329",15.8975,25.37,9.22,27.6275,21.31
"330",15.9,25.45,9.22,27.62,21.38
"331",15.9,25.46,9.22,27.64,21.49
"332",15.9,25.39,9.23,27.63,21.54
"333",15.91,25.41,9.23,27.63,21.49
"334",15.9,25.44,9.24,27.62,21.37
"335",15.9,25.44,9.23,27.66,21.4
"336",15.9,25.48,9.24,27.69,21.38
"337",15.9,25.47,9.23,27.68,21.43
"338",15.89,25.52,9.22,27.65,21.37
"339",15.89,25.46,9.22,27.66,21.41
"340",15.89,25.43,9.22,27.61,21.42
"341",15.9,25.36,9.22,27.6,21.53
"342",15.91,25.37,9.22,27.56,21.46
"343",15.91,25.38,9.22,27.58,21.44
"344",15.91,25.4,9.23,27.58,21.55
"345",15.92,25.31,9.22,27.59,21.57
"346",15.91,25.22,9.22,27.45,21.48
"347",15.91,25.2,9.22,27.37,21.3
"348",15.91,25.14,9.215,27.345,21.24
"349",15.91,25.09,9.21,27.32,21.3
"350",15.91,25.04,9.21,27.21,21.28
"351",15.9,24.91,9.2,27.11,21.2
"352",15.89,24.98,9.2,27.05,21.18
"353",15.9,25.03,9.2,27.16,21.32
"354",15.9,24.93,9.21,27.14,21.26
"355",15.9,24.89,9.2,26.97,21.18
"356",15.91,24.82,9.2,27.01,21.14
"357",15.905,24.83,9.2,27.04,21.26
"358",15.9,24.94,9.2,27.07,21.27
"359",15.9,24.88,9.2,27.05,21.3
"360",15.91,24.88,9.2,27.06,21.34
"361",15.91,24.89,9.21,27.04,21.39
"362",15.9,24.94,9.2,27.03,21.35
"363",15.91,24.97,9.21,27.05,21.42
"364",15.905,25.02,9.205,27.055,21.39
"365",15.9,25.07,9.2,27.06,21.36
"366",15.9,25.08,9.21,27.11,21.37
"367",15.9,25.08,9.2,27.14,21.34
"368",15.89,25.13,9.21,27.17,21.28
"369",15.88,25.05,9.21,27.14,21.3
"370",15.87,24.92,9.2,26.97,21.2
"371",15.88,24.78,9.2,26.83,21.13
"372",15.87,24.82,9.18,26.8,21.08
"373",15.86,24.82,9.2,26.73,21.11
"374",15.86,24.81,9.17,26.71,20.96
"375",15.85,24.75,9.18,26.68,21.03
"376",15.84,24.68,9.17,26.6,21.01
"377",15.86,24.79,9.17,26.66,21.04
"378",15.85,24.79,9.17,26.69,21.02
"379",15.82,24.81,9.15,26.69,20.95
"380",15.81,24.84,9.15,26.67,20.98
"381",15.82,24.87,9.15,26.7,21.01
"382",15.81,24.79,9.14,26.73,21.04
"383",15.82,24.86,9.15,26.77,20.98
"384",15.84,24.78,9.17,26.77,21.11
"385",15.845,24.78,9.175,26.755,21.24
"386",15.85,24.84,9.18,26.74,21.14
"387",15.85,24.82,9.18,26.73,21.11
"388",15.85,24.77,9.18,26.69,21.08
"389",15.83,24.85,9.15,26.68,20.85
"390",15.83,24.87,9.15,26.72,20.94
"391",15.84,24.8,9.16,26.67,21.04
"392",15.83,24.83,9.15,26.63,21.07
"393",15.83,24.875,9.15,26.68,21.02
"394",15.82,24.92,9.14,26.71,20.96
"395",15.81,24.97,9.13,26.81,20.91
"396",15.82,24.96,9.13,26.85,20.7
"397",15.82,24.89,9.14,26.82,20.87
"398",15.84,24.83,9.15,26.73,20.98
"399",15.84,24.86,9.15,26.68,21.13
"400",15.85,24.88,9.15,26.71,21.09
"401",15.85,24.94,9.15,26.77,21.09
"402",15.86,24.97,9.16,26.79,21.15
"403",15.86,25.01,9.17,26.87,21.13
"404",15.87,24.99,9.17,26.89,21.09
"405",15.87,24.99,9.17,26.87,21.03
"406",15.87,25.02,9.16,26.92,20.99
"407",15.87,25.04,9.16,26.95,20.82
"408",15.87,25.03,9.16,27.03,20.72
"409",15.87,25.01,9.15,27.05,20.61
"410",15.87,25,9.15,27.02,20.69
"411",15.87,25,9.15,27.01,20.78
"412",15.88,25.03,9.15,27.04,20.72
"413",15.88,25.06,9.15,27.1,20.72
"414",15.88,25.09,9.16,27.12,20.65
"415",15.88,25.04,9.16,27.13,20.69
"416",15.88,25.01,9.16,27.03,20.62
"417",15.88,25.01,9.15,27.03,20.56
"418",15.88,25.06,9.16,27.07,20.52
"419",15.88,25.01,9.15,27.09,20.54
"420",15.88,25.07,9.14,27.14,20.35
"421",15.88,25.03,9.13,27.18,20.2
"422",15.88,24.98,9.14,27.13,20.2
"423",15.88,24.98,9.14,27.11,20.16
"424",15.88,25.02,9.13,27.15,20.14
"425",15.87,24.97,9.14,27.13,20.21
"426",15.87,25.02,9.13,27.1,20.03
"427",15.86,25.03,9.12,27.17,19.85
"428",15.86,24.99,9.11,27.17,19.53
"429",15.85,24.9,9.08,27.2,19.02
"430",15.85,24.82,9.1,27.06,19.17
"431",15.85,24.76,9.09,27.01,19.41
"432",15.85,24.87,9.09,26.99,19.83
"433",15.85,24.88,9.09,27.05,19.93
"434",15.85,24.87,9.1,27.03,19.86
"435",15.85,24.81,9.09,26.98,19.63
"436",15.85,24.78,9.09,26.96,19.69
"437",15.85,24.83,9.09,26.99,19.72
"438",15.86,24.83,9.09,27.06,19.5
"439",15.86,24.805,9.09,27.07,19.41
"440",15.86,24.78,9.09,27.06,19.55
"441",15.86,24.82,9.1,27.02,19.58
"442",15.86,24.8,9.09,27.05,19.57
"443",15.85,24.83,9.09,27.06,19.53
"444",15.85,24.82,9.09,27.07,19.57
"445",15.85,24.71,9.09,27.01,19.69
"446",15.85,24.7,9.09,26.95,19.75
"447",15.85,24.82,9.09,26.94,19.64
"448",15.85,24.89,9.09,27.11,19.72
"449",15.85,24.81,9.09,27.09,19.75
"450",15.83,24.85,9.08,27.09,19.57
"451",15.83,24.83,9.08,27.1,19.34
"452",15.83,24.79,9.06,27.15,19.38
"453",15.82,24.75,9.07,27.07,19.4
"454",15.82,24.73,9.05,27.09,19.18
"455",15.81,24.72,9.04,27.12,19.15
"456",15.81,24.73,9.05,27.12,19.39
"457",15.82,24.8,9.05,27.17,19.38
"458",15.82,24.87,9.04,27.25,19.45
"459",15.82,24.86,9.07,27.2,19.69
"460",15.83,24.9,9.08,27.15,19.65
"461",15.83,24.9,9.09,27.18,19.85
"462",15.83,24.86,9.09,27.21,20
"463",15.84,24.86,9.1,27.2,20.01
"464",15.84,24.92,9.09,27.22,19.99
"465",15.84,24.88,9.09,27.23,19.74
"466",15.83,24.91,9.08,27.27,19.74
"467",15.83,24.89,9.09,27.27,20
"468",15.83,24.91,9.09,27.28,19.93
"469",15.83,24.92,9.1,27.27,19.89
"470",15.84,24.89,9.1,27.22,19.81
"471",15.83,24.93,9.09,27.25,19.71
"472",15.84,24.98,9.1,27.31,20.09
"473",15.85,24.97,9.11,27.32,20.2
"474",15.86,24.96,9.11,27.34,20.16
"475",15.86,24.98,9.1,27.38,20.08
"476",15.86,24.92,9.11,27.38,20.2
"477",15.86,24.85,9.11,27.31,20.13
"478",15.85,24.88,9.1,27.26,20.13
"479",15.85,24.89,9.11,27.23,20.15
"480",15.85,24.86,9.11,27.22,20.32
"481",15.86,24.83,9.11,27.22,20.4
"482",15.85,24.8,9.11,27.17,20.32
"483",15.85,24.78,9.11,27.08,20.43
"484",15.85,24.74,9.1,27,20.32
"485",15.85,24.75,9.09,27.04,20.39
"486",15.86,24.71,9.1,27.06,20.41
"487",15.85,24.72,9.09,27.08,20.29
"488",15.85,24.75,9.09,27.12,20.25
"489",15.85,24.75,9.09,27.14,20.32
"490",15.86,24.79,9.09,27.14,20.36
"491",15.86,24.8,9.09,27.17,20.57
"492",15.86,24.82,9.1,27.24,20.58
"493",15.87,24.81,9.1,27.26,20.69
"494",15.87,24.84,9.09,27.22,20.62
"495",15.87,24.84,9.1,27.24,20.68
"496",15.88,24.84,9.09,27.27,20.74
"497",15.88,24.84,9.09,27.28,20.69
"498",15.88,24.84,9.09,27.31,20.59
"499",15.88,24.86,9.09,27.29,20.6
"500",15.89,24.96,9.1,27.31,20.58
"501",15.89,24.95,9.1,27.34,20.61
"502",15.88,24.79,9.1,27.23,20.35
"503",15.87,24.86,9.09,27.14,20.44
"504",15.87,24.9,9.09,27.21,20.29
"505",15.87,24.87,9.08,27.26,20.15
"506",15.87,24.89,9.08,27.24,20
"507",15.87,24.85,9.07,27.23,20.02
"508",15.86,24.92,9.05,27.25,19.7
"509",15.85,24.79,9.04,27.21,19.69
"510",15.85,24.8,9.04,27.12,19.92
"511",15.85,24.79,9.04,27.13,20.06
"512",15.86,24.87,9.05,27.16,20.1
"513",15.85,24.89,9.05,27.24,19.96
"514",15.85,24.88,9.04,27.26,19.92
"515",15.85,24.83,9.04,27.22,19.92
"516",15.85,24.81,9.04,27.17,19.95
"517",15.85,24.84,9.045,27.18,19.89
"518",15.85,24.81,9.05,27.19,19.92
"519",15.86,24.78,9.04,27.18,19.97
"520",15.86,24.78,9.04,27.13,19.84
"521",15.85,24.81,9.04,27.15,19.91
"522",15.86,24.85,9.05,27.24,19.7
"523",15.86,24.84,9.04,27.22,19.81
"524",15.86,24.88,9.03,27.28,19.56
"525",15.85,24.85,9.02,27.25,19.33
